,Kingdom,Phylum,Class,Order,Family,Genus,Species
4f7eba6cf976e8412af1e2b92377bca0,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Lachnospirales, f__Lachnospiraceae, g__Mediterraneibacter_A_155507, s__Mediterraneibacter_A_155507 faecis
67456d38c2a8e01952b631706cc667d9,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__Phocaeicola_A_858004, g__Phocaeicola_A_858004
65c3c4c068e20a180ee18a7e25a77424,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__Prevotella, s__Prevotella copri
0b4aeb45916a24fd10e3655fe6481966,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Christensenellales, f__CAG-138, g__SFEL01, g__SFEL01
12271f84b58b5b9b0fa07d5c5ec851f5,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Christensenellales, f__CAG-917, g__CAG-475, s__CAG-475 sp900548005
73a9215ff1a18629669f53cada92d668,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__Prevotella, s__Prevotella copri
b0e26261e89b95e0aa5d25a6f29ce455,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Barnesiellaceae, g__Barnesiella, s__Barnesiella intestinihominis
3ed0e1dbe3fbc6f223bf6f19f67cbd90,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Lachnospirales, f__Lachnospiraceae, g__Lacrimispora, g__Lacrimispora
6d80750f9560e7cfa90edf36a128d0e2,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Muribaculaceae, g__Sodaliphilus, g__Sodaliphilus
33f3010fde49f07642ce5fad060e002d,d__Bacteria, p__Firmicutes_A, c__Clostridia_43505, o__Caldicoprobacterales, f__Xylanivirgaceae, g__Xylanivirga, g__Xylanivirga
a09d6150a76ed5b484f9157717ad126a,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__Prevotella, s__Prevotella sp002251365
f04d3f4597dc92a5b73df3773e0f344f,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Muribaculaceae, g__CAG-485, s__CAG-485 sp900547755
1ec49c9ba6c03b655795cc23e07c563f,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Christensenellales, f__Borkfalkiaceae, g__UBA1259, g__UBA1259
5d705f1cadece22a8aca072675897bdd,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Paludibacteraceae, g__RF16, s__RF16 sp002452095
afcfc755524efe6614bd7a885ccf72a2,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Lachnospirales, f__Lachnospiraceae, g__CAG-127, s__CAG-127 sp900319515
c8795b1407b86d3ef3cf5ba2e7002741,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__Phocaeicola_A_858004, s__Phocaeicola_A_858004 sp900291465
a252130d3b5c679ed7bb2dfc4cb7b36d,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__UBA932, g__Cryptobacteroides, s__Cryptobacteroides sp902789245
f89ca76da41eb1de0b2ca231eeff60e4,d__Bacteria, p__Actinobacteriota, c__Coriobacteriia, o__Coriobacteriales, f__Atopobiaceae, g__Olsenella_H_405128, s__Olsenella_H porci
2c271a8efeae2c8fae1e150050b96f40,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Oscillospirales, f__Ruminococcaceae, g__UBA1394, s__UBA1394 sp900066845
3903300071c0e1757a8657f3c0fea0fe,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Lachnospirales, f__Lachnospiraceae, g__Lachnospira, s__Lachnospira eligens
3332b8f07b2bfbce48043e1ed660b5b1,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__Bacteroides_H, g__Bacteroides_H
70fc4652250e020e9623192b5eb0759e,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Oscillospirales, f__Acutalibacteraceae, g__Ruminococcus_E, g__Ruminococcus_E
7e531f81a5bae21a9fe520d6cc8c447c,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Lachnospirales, o__Lachnospirales, o__Lachnospirales, o__Lachnospirales
a0c41730912fc4dade1551433026bfc3,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Clostridiales, f__Clostridiaceae_222000, g__Clostridium_T, g__Clostridium_T
2815b8ab4e0ac75fd5aa3159dddafd24,d__Bacteria, p__Firmicutes_D, c__Bacilli, o__ML615J-28, f__CAG-313, g__CAG-313, s__CAG-313 sp003539625
d2025c2e257f48135ebb30530cbd9350,d__Bacteria, p__Verrucomicrobiota, c__Lentisphaeria, o__Victivallales, f__Victivallaceae, g__Victivallis, g__Victivallis
7104a1668767eccfc706812138f7619f,d__Bacteria, p__Firmicutes_D, c__Bacilli, o__Lactobacillales, f__Lactobacillaceae, g__Leuconostoc_B, g__Leuconostoc_B
8ee1ca9bba4f8b0b6faba6e813df95a5,d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, c__Alphaproteobacteria, c__Alphaproteobacteria, c__Alphaproteobacteria, c__Alphaproteobacteria
9192b3275c36e56540678451adfa601f,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Oscillospirales, f__Oscillospiraceae_88309, g__ER4, s__ER4 sp000765235
a63c2f73b4e62e953eb7f71d8885a71e,d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__RF32, f__CAG-239, g__51-20, s__51-20 sp900542055
6dfb118aa8b73ede1bdb71dedc23838c,d__Bacteria, p__Firmicutes_D, c__Bacilli, o__Erysipelotrichales, f__Erysipelotrichaceae, g__Holdemanella, s__Holdemanella biformis
ca7495901c20c6186ef394787a9f5987,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__Prevotella, s__Prevotella stercorea
1c53272c33799c6309d6128a1114d129,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Oscillospirales, f__Acutalibacteraceae, g__UBA737, s__UBA737 sp900547445
ca4c25046da62c882efbe4d256c37aa7,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__Alloprevotella, s__Alloprevotella timonensis
bdcec7f306c15fe4a56aa04a34277bb3,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Marinifilaceae, g__Butyricimonas, s__Butyricimonas faecalis
76a743ea5602a8b04dae5f030129947c,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Lachnospirales, o__Lachnospirales, o__Lachnospirales, o__Lachnospirales
92eb9a029b3c658c7d3b99fb7992bdda,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Lachnospirales, f__Lachnospiraceae, g__Agathobacter_164117, s__Agathobacter rectalis
9010604cce280b18d7cfa95877ecafae,d__Bacteria, p__Firmicutes_C, c__Negativicutes, o__Veillonellales, f__Megasphaeraceae, g__Megasphaera_A_38685, s__Megasphaera_A_38685 elsdenii
666e3abe669f4f4253022803fedcba9c,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Christensenellales, f__Borkfalkiaceae, f__Borkfalkiaceae, f__Borkfalkiaceae
758cee8eee8e1c085b11e2cc2769e8b4,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__Phocaeicola_A_858004, s__Phocaeicola_A_858004 sartorii
78500a9f64f33ec04e40892a3f534176,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Lachnospirales, f__Anaerotignaceae, f__Anaerotignaceae, f__Anaerotignaceae
573973edb9718960ce1230bfb5a5a94a,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Lachnospirales, f__Lachnospiraceae, g__Fusicatenibacter, s__Fusicatenibacter saccharivorans
9af94f33a1d7c04d20d6c9c7516fe994,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Lachnospirales, f__Lachnospiraceae, f__Lachnospiraceae, f__Lachnospiraceae
f2b28c99570c401dd8030b863464947c,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__Prevotella, s__Prevotella buccae
ed09b72caf85fd47827c09bbd02e77b5,d__Bacteria, p__Desulfobacterota_I, c__Desulfovibrionia, o__Desulfovibrionales, f__Desulfovibrionaceae, g__Desulfovibrio_R_446353, s__Desulfovibrio_R_446353 piger_A
11b7d5a0dd0446562be236a4a9144c75,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Oscillospirales, f__Oscillospiraceae_88309, g__Lawsonibacter, s__Lawsonibacter sp000177015
b2860f516f112641ed0f0e003948b534,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__UBA1381, f__UBA1381, g__CAG-41, s__CAG-41 sp001941225
70be408f6684fa66cce785377ad877ed,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Lachnospirales, f__Lachnospiraceae, g__Lachnospira, g__Lachnospira
3ba8c338a4775dcbafb63ad0d8f77eaa,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__TANB77, f__CAG-508, g__CAG-269, s__CAG-269 sp000431335
36f8822030b4f2931d27025d7574db4d,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Oscillospirales, f__Ruminococcaceae, g__Angelakisella, s__Angelakisella massiliensis
546b6c41df84273c2b89fb71e0c32738,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__UBA932, g__Cryptobacteroides, s__Cryptobacteroides sp000435075
432c814024bdfd89d3273986167eefb9,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Lachnospirales, f__Lachnospiraceae, g__Oliverpabstia, g__Oliverpabstia
340053281a2d8ab56d5a384cb7384254,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__Bacteroides_H, s__Bacteroides_H uniformis
ed1a372f752773748343b0cbbb7b3824,d__Bacteria, p__Firmicutes_D, c__Bacilli, o__RF39, f__UBA660, g__CAG-302, g__CAG-302
53ab6977e193ff6cda7eea1650d91f74,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Muribaculaceae, g__CAG-485, s__CAG-485 sp002362485
3834b11f3076c7c8dca62fdc58275f2d,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__Paraprevotella, g__Paraprevotella
cc0a3fddb9806f9049dcc068c8688f91,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__Prevotella, s__Prevotella stercorea
4472da806da49e50bdcfcab6ea13b4ac,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Enterobacterales_A_737866, f__Succinivibrionaceae, g__WG-1, s__WG-1 sp000222855
9c10495fc8617552ed8f7b5d9931f6cb,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Oscillospirales, f__CAG-272, f__CAG-272, f__CAG-272
bdea0de6a73ce4e1637407d5db75e52a,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Oscillospirales, f__Oscillospiraceae_88309, g__UBA2658, s__UBA2658 sp009929315
8c758d61f70ccd34c7200a9b03a0c819,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Lachnospirales, f__Lachnospiraceae, f__Lachnospiraceae, f__Lachnospiraceae
0a8849a56501899fccb6a1ae08c1d306,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Christensenellales, o__Christensenellales, o__Christensenellales, o__Christensenellales
871b99772b7ead3ed8a217f566729af6,d__Bacteria, p__Actinobacteriota, c__Coriobacteriia, o__Coriobacteriales, f__Eggerthellaceae, g__CAG-1427, s__CAG-1427 sp000435675
bb518fecd8ffb68f2c76deb00d50f592,d__Bacteria, p__Firmicutes_D, c__Bacilli, o__RF39, f__UBA660, g__Scybalousia, s__Scybalousia sp900543675
be623b97eba1efe58da68fc5035f3f58,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__Paraprevotella, g__Paraprevotella
b002ddf272c85da69e4a36d0950f702a,d__Bacteria, p__Firmicutes_D, c__Bacilli, o__RF39, f__UBA660, g__RUG705, g__RUG705
f139a0cf6d4db3f5908a4c3c6893920e,d__Bacteria, p__Firmicutes_C, c__Negativicutes, o__Acidaminococcales, f__Acidaminococcaceae, g__Phascolarctobacterium_A, g__Phascolarctobacterium_A
03409404ecaa38131b70c0c7818f7b88,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Oscillospirales, f__Acutalibacteraceae, g__Ruminococcus_E, s__Ruminococcus_E bromii_A
be3a4db51d12005c93750e6ccb7357fb,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Muribaculaceae, g__Limisoma, s__Limisoma sp900548875
dabfe5036dae86b793ecf2741ad6c3cc,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__Prevotella, s__Prevotella sp002251365
f2a757cdc5e1747e7cfa6353656db570,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Lachnospirales, f__Lachnospiraceae, g__CAG-603, s__CAG-603 sp900066105
d9fa709ee47aa994f4109d93297fa340,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Christensenellales, f__CAG-552, f__CAG-552, f__CAG-552
bfd96ed64792d1e903194fa1a9cbce77,d__Bacteria, p__Fusobacteriota, c__Fusobacteriia, o__Fusobacteriales_993521, f__Fusobacteriaceae_993521, g__Fusobacterium_A, g__Fusobacterium_A
c4ec56d0592f903758b10e6990c65ac1,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Oscillospirales, f__Ruminococcaceae, g__Faecalibacterium, s__Faecalibacterium prausnitzii_C_71358
0c8cd04af71b5642539b9239045d7307,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Lachnospirales, f__Lachnospiraceae, g__Lachnospira, s__Lachnospira eligens
dcab306910c46a2fe2544a0cd0955e98,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Oscillospirales, f__Ruminococcaceae, g__CAG-353, s__CAG-353 sp900066885
06ca1d8e7b0adc837e3a73dc4938a0b7,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Oscillospirales, f__Acutalibacteraceae, g__UBA5905, s__UBA5905 sp002437905
5c17431d2c4cef487d61549aa498516c,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__TANB77, f__CAG-508, g__CAG-273, g__CAG-273
c2da7cc0247443dccd2e3d6a62f7be45,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Oscillospirales, f__Oscillospiraceae_88309, g__Faecousia, s__Faecousia sp000434635
f98aff248d7f6d3d2273fdba745f43fd,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Christensenellales, f__CAG-138, g__PeH17, s__PeH17 sp900542285
e571a6deb7f7785835773e0b9304f018,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Oscillospirales, f__CAG-272, g__Avispirillum, s__Avispirillum sp011957885
945339fc2c3be1c08d4a3c798ab7b299,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Oscillospirales, f__Ruminococcaceae, g__Faecalibacterium, s__Faecalibacterium prausnitzii_C_71358
c01ad5de2ea61ab01c8658f6f7d6118e,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Lachnospirales, f__Lachnospiraceae, g__Porcincola, g__Porcincola
c4f66213dfd4cad573e8c9b98d42fd2c,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Oscillospirales, f__CAG-272, g__Avispirillum, g__Avispirillum
f8f96074aa21f133d5d5c5ec9f39d551,d__Bacteria, p__Firmicutes_D, c__Bacilli, o__Erysipelotrichales, f__Coprobacillaceae, g__Catenibacterium, g__Catenibacterium
6ad0a98235408666f15fe8b64e7d2767,d__Bacteria, p__Firmicutes_D, c__Bacilli, o__ML615J-28, f__CAG-698, g__UBA2253, g__UBA2253
0e946c1f69e5e0d9ad68a03b2bf71d81,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Burkholderiales_595427, f__Burkholderiaceae_A_595427, g__Aphodousia, g__Aphodousia
551aa249b21247586c4f540ec28d7847,d__Bacteria, p__Firmicutes_D, c__Bacilli, o__RF39, f__UBA660, f__UBA660, f__UBA660
1fe91643796c66c19ec5bd0696b71d23,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__Prevotella, s__Prevotella copri
34ca45f18a9bbe18ed819881825bdb2f,d__Bacteria, p__Firmicutes_D, c__Bacilli, o__RF39, f__UBA660, g__RUG13038, g__RUG13038
3307cbc3dccc36f7b941d37da02a7973,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Christensenellales, o__Christensenellales, o__Christensenellales, o__Christensenellales
0597a3d04070f58eaf972598a6f3648e,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Lachnospirales, f__Lachnospiraceae, g__UBA3282, s__UBA3282 sp003611805
5937a13445dae76a77cb9a7cb34a05e6,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__TANB77, f__CAG-508, f__CAG-508, f__CAG-508
ccd046aa7781dda3c468e2428c3816bd,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Lachnospirales, f__Lachnospiraceae, g__Enterocloster, g__Enterocloster
748c5f14c648b743ad9e4b5ebfd761ff,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__Bacteroides_H, s__Bacteroides_H stercoris
8a8701c484de45fd8eb7cf8dce5066d3,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__Prevotella, s__Prevotella copri
4abb86c00851161a3cad815849b79ad4,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__TANB77, f__CAG-508, g__CAG-273, s__CAG-273 sp003507395
7b49aa3d2cbd3abb4975e2cf0abf598c,d__Bacteria, p__Verrucomicrobiota, c__Lentisphaeria, o__Victivallales, f__Victivallaceae, g__Victivallis, s__Victivallis vadensis
05fe18e64a9cadbb3cdfb6c020866086,d__Archaea, p__Thermoplasmatota, c__Thermoplasmata_1773, o__Methanomassiliicoccales, f__Methanomethylophilaceae, g__UBA71, s__UBA71 sp002506425
92141f9662b301e240a6a6eef99beb80,d__Bacteria, p__Firmicutes_D, c__Bacilli, o__RF39, f__UBA660, g__Onthocola_B, s__Onthocola_B sp000437355
94215daafa8e0f68275117a296cc1035,d__Bacteria, p__Firmicutes_D, c__Bacilli, o__Erysipelotrichales, f__Erysipelotrichaceae, g__UBA636, s__UBA636 sp900546285
6d4d13256e1e796d54334553ac5b140c,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__TANB77, f__CAG-508, g__CAG-269, s__CAG-269 sp000431335
39f94c50ed5ba9ec7085c9c0e312c16a,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Peptostreptococcales, f__Anaerovoracaceae, g__Copromorpha, s__Copromorpha sp900066305
9b8d2f821037ee88793272295bf5c99a,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Lachnospirales, f__Lachnospiraceae, g__Mediterraneibacter_A_155507, s__Mediterraneibacter_A_155507 torques
dea495bd3449867fff0ae159b49a958f,d__Bacteria, p__Firmicutes_D, c__Bacilli, o__Erysipelotrichales, f__Coprobacillaceae, g__Faecalibacillus, g__Faecalibacillus
a95b5a97df375c1dcc022eb328a29a52,d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__UBA3830, f__UBA3830, g__UBA3830, s__UBA3830 sp902790255
f2d53825615fe873341081a054111b98,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__Alloprevotella, s__Alloprevotella timonensis
b3e7294a342753dc5e8037f7a489e874,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Christensenellales, f__Borkfalkiaceae, g__UBA1259, g__UBA1259
7778d3bd19d9936601dcd224f7faa8f0,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Lachnospirales, f__Lachnospiraceae, g__Dorea_A, s__Dorea_A longicatena
3f75854e608bcdbde99d76ed0b3f9a59,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Oscillospirales, f__Ruminococcaceae, g__Faecalibacterium, g__Faecalibacterium
b1a6ff0d120b8b78f3a1e548157eafaf,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Lachnospirales, f__Lachnospiraceae, g__Oliverpabstia, g__Oliverpabstia
e899fc2119811f84e064fd091a86f2b1,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Lachnospirales, f__Lachnospiraceae, g__Porcincola, g__Porcincola
dc78a510dbc11c1dd7bb0d2a10036493,d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__RF32, f__CAG-239, g__RUG410, g__RUG410
d9653f5f5c64c086d9227dbd20cd88d6,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Lachnospirales, f__Lachnospiraceae, g__Acetatifactor, s__Acetatifactor sp900066565
be5cc85bd2ac16b6ae446fd24b1e2308,d__Bacteria, p__Firmicutes_D, c__Bacilli, o__Haloplasmatales_A, f__Turicibacteraceae, g__Turicibacter, s__Turicibacter sanguinis
